Id,Name,Team,Type,Price,IsForeigner,IsSpinner,IsFastBowler,Opener,Middle,Finisher,Newball,Death,Dependable
1,Virat Kohli,RCB,BAT,21,false,false,false,14,0,0,0,0,0
2,Rajat Patidar,RCB,BAT,11,false,false,false,0,14,0,0,0,0
3,Yash Dayal,RCB,BOWL,5,false,false,true,0,0,0,0,14,14
4,Jasprit Bumrah,MI,BOWL,18,false,false,true,0,0,0,14,14,14
5,Suryakumar Yadav,MI,BAT,16.35,false,false,false,0,14,0,0,0,0
6,Hardik Pandya,MI,AR,16.35,false,false,true,0,0,14,0,0,14
7,Rohit Sharma,MI,BAT,16.3,false,false,false,14,0,0,0,0,0
8,Tilak Varma,MI,AR,8,false,false,false,0,0,14,0,0,0
9,Heinrich Klaasen,SRH,WKBAT,23,true,false,false,0,0,14,0,0,0
10,Pat Cummins,SRH,AR,18,true,false,true,0,0,0,14,14,14
11,Abhishek Sharma,SRH,AR,14,false,true,false,14,0,0,0,0,0
12,Travis Head,SRH,BAT,14,true,false,false,14,0,0,0,0,0
13,Nitish Kumar Reddy,SRH,AR,6,false,false,true,0,0,14,0,0,0
14,Ruturaj Gaikwad,CSK,BAT,18,false,false,false,14,0,0,0,0,0
15,Ravindra Jadeja,CSK,AR,18,false,true,false,0,0,14,0,0,14
16,Matheesha Pathirana,CSK,BOWL,13,true,false,true,0,0,0,0,14,14
17,Shivam Dube,CSK,AR,12,false,false,true,0,0,14,0,0,0
18,MS Dhoni,CSK,WKBAT,4,false,false,false,0,0,14,0,0,0
19,Axar Patel,DC,AR,16.5,false,true,false,0,0,14,0,0,14
20,Kuldeep Yadav,DC,BOWL,13.25,false,true,false,0,0,0,0,0,14
21,Tristan Stubbs,DC,WKBAT,10,true,false,false,0,0,14,0,0,0
22,Abishek Porel,DC,BAT,4,false,false,false,0,0,14,0,0,0
23,Rinku Singh,KKR,BAT,13,false,false,false,0,0,14,0,0,0
24,Varun Chakravarthy,KKR,AR,12,false,true,false,0,0,0,0,0,14
25,Sunil Narine,KKR,BOWL,12,true,true,false,14,0,0,0,0,14
26,Andre Russell,KKR,AR,12,true,false,true,0,0,14,0,14,0
27,Harshit Rana,KKR,BOWL,4,false,false,true,0,0,0,14,14,14
28,Ramandeep Singh,KKR,AR,4,false,false,true,0,0,14,0,0,0
29,Sanju Samson,RR,WKBAT,18,false,false,false,0,14,0,0,0,0
30,Yashasvi Jaiswal,RR,AR,18,false,false,false,14,0,0,0,0,0
31,Riyan Parag,RR,AR,14,false,true,false,0,0,14,0,0,0
32,Dhruv Jurel,RR,WKBAT,14,false,false,false,0,0,14,0,0,0
33,Shimron Hetmyer,RR,BAT,11,true,false,false,0,0,14,0,0,0
34,Sandeep Sharma,RR,BOWL,4,false,false,true,0,0,0,0,14,14
35,Rashid Khan,GT,AR,18,true,true,false,0,0,14,0,14,14
36,Shubman Gill,GT,BAT,16.5,false,false,false,14,0,0,0,0,0
37,Sai Sudharsan,GT,AR,8.5,false,false,false,0,14,0,0,0,0
